Age of retirement
66.8
66.5
66.4
66.1
66.5
66.4
66.1
66.1
66.2
65.9
65.9
65.8
65.5
65.3
64.9
64.7
64.6
64.8
64.8
64
64.3
64.5
64.9
64.9
65.2
64.8
64.7
65.1
64.2
64.3
64.6
64.8
64.6
65.4
65.6
65.6
65.3
65
65.3
65.9
